Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.926829268292683,0.8714627548897211,0.8714627548897211,0.928936654178454,0.10890412330627441
PassiveAggressiveClassifier,0.8926829268292683,0.8439450686641699,0.8439450686641699,0.8995162484139292,0.11107683181762695
RidgeClassifierCV,0.9024390243902439,0.841708281315023,0.8417082813150228,0.9070583800863609,0.6849339008331299
LinearSVC,0.8878048780487805,0.8411360799001248,0.841136079900125,0.895509693558474,0.9450442790985107
DecisionTreeClassifier,0.9195121951219513,0.8358302122347065,0.8358302122347067,0.920429583665333,0.11266040802001953
XGBClassifier,0.9292682926829269,0.8335934248855597,0.8335934248855597,0.928406227918423,0.22850298881530762
BaggingClassifier,0.9243902439024391,0.8307844361215148,0.8307844361215148,0.9240899495545138,0.694145917892456
RandomForestClassifier,0.926829268292683,0.8243341656263005,0.8243341656263004,0.9256265263555085,0.32430100440979004
RidgeClassifier,0.8682926829268293,0.8220453599667084,0.8220453599667084,0.879155025296383,0.11702084541320801
LinearDiscriminantAnalysis,0.8439024390243902,0.8158551810237203,0.8158551810237203,0.8603509432777725,0.5985362529754639
LGBMClassifier,0.9243902439024391,0.8150749063670412,0.8150749063670412,0.9228186879910804,0.2061913013458252
ExtraTreesClassifier,0.9219512195121952,0.8136704119850187,0.8136704119850188,0.9206682947792091,0.3744783401489258
BernoulliNB,0.8682926829268293,0.8063358302122348,0.8063358302122348,0.8779688547414015,0.1889188289642334
Perceptron,0.8951219512195122,0.8060757386600084,0.8060757386600083,0.898484383465128,0.06852936744689941
AdaBoostClassifier,0.9170731707317074,0.803006658343737,0.803006658343737,0.9157100632029097,0.462050199508667
ExtraTreeClassifier,0.8975609756097561,0.7917707032875572,0.7917707032875573,0.8991008681273254,0.04970407485961914
SVC,0.9365853658536586,0.7906783187682064,0.7906783187682064,0.931025726695623,0.538578987121582
NearestCentroid,0.8902439024390244,0.7875572201414898,0.7875572201414899,0.8930394169806638,0.06396031379699707
KNeighborsClassifier,0.9243902439024391,0.7758010819808572,0.7758010819808573,0.919072701043379,0.07309937477111816
SGDClassifier,0.9097560975609756,0.7516645859342489,0.7516645859342488,0.9043905980257625,0.09290766716003418
GaussianNB,0.7780487804878049,0.7465147732001665,0.7465147732001665,0.8072288396724646,0.058149099349975586
CalibratedClassifierCV,0.9146341463414634,0.707344985434873,0.707344985434873,0.901965961472876,12.53629183769226
QuadraticDiscriminantAnalysis,0.9097560975609756,0.6809717020391177,0.6809717020391177,0.8934727288927466,0.5508139133453369
LabelSpreading,0.21707317073170732,0.5413025384935497,0.5413025384935497,0.19177201529420945,0.1467893123626709
LabelPropagation,0.21707317073170732,0.5413025384935497,0.5413025384935497,0.19177201529420945,0.12165164947509766
DummyClassifier,0.8682926829268293,0.5,0.5,0.8070814494045724,0.04471874237060547
