Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
KNeighborsClassifier,0.9341463414634147,0.8364024136496047,0.8364024136496047,0.932777566959973,0.14342451095581055
LinearSVC,0.8975609756097561,0.8310445276737412,0.8310445276737412,0.9024112990906789,2.1967570781707764
NearestCentroid,0.824390243902439,0.8281835205992509,0.8281835205992509,0.8464526651345541,0.13763165473937988
XGBClassifier,0.9317073170731708,0.8271431543903454,0.8271431543903454,0.9299840542236326,0.5974166393280029
ExtraTreesClassifier,0.926829268292683,0.8243341656263005,0.8243341656263004,0.9256265263555085,0.5080959796905518
BaggingClassifier,0.9097560975609756,0.82235746982938,0.82235746982938,0.9114335355092045,1.1911132335662842
LogisticRegression,0.9195121951219513,0.8201206824802331,0.820120682480233,0.9191925269451275,0.2618672847747803
LGBMClassifier,0.9243902439024391,0.8150749063670412,0.8150749063670412,0.9228186879910804,0.5000472068786621
Perceptron,0.8926829268292683,0.8046712442779859,0.8046712442779858,0.8964658938201725,0.1693127155303955
PassiveAggressiveClassifier,0.8878048780487805,0.801862255513941,0.8018622555139409,0.8924529616724739,0.25368261337280273
AdaBoostClassifier,0.9121951219512195,0.8001976695796921,0.800197669579692,0.9114897500647751,1.3199436664581299
RidgeClassifierCV,0.8609756097560975,0.7942675821889305,0.7942675821889305,0.8715122559834457,0.7138783931732178
DecisionTreeClassifier,0.8682926829268293,0.7906263004577612,0.790626300457761,0.8766790321443677,0.27240419387817383
RandomForestClassifier,0.9195121951219513,0.788701622971286,0.788701622971286,0.9163560096072528,0.42383837699890137
BernoulliNB,0.7926829268292683,0.7785060341240116,0.7785060341240116,0.8199390260676869,0.18174958229064941
SVC,0.9219512195121952,0.766541822721598,0.766541822721598,0.916022047941454,0.939918041229248
ExtraTreeClassifier,0.8609756097560975,0.7314294631710363,0.7314294631710363,0.865432787384007,0.10122466087341309
SGDClassifier,0.9024390243902439,0.7160320432792343,0.7160320432792342,0.8938857333778817,0.24112653732299805
RidgeClassifier,0.7292682926829268,0.7027153558052435,0.7027153558052435,0.7688082067016208,0.296367883682251
LinearDiscriminantAnalysis,0.6414634146341464,0.6285892634207242,0.6285892634207242,0.6988249422601426,1.4985480308532715
GaussianNB,0.4170731707317073,0.5857781939242613,0.5857781939242613,0.48279983315306657,0.12858796119689941
QuadraticDiscriminantAnalysis,0.2926829268292683,0.5848418643362464,0.5848418643362464,0.3096682424800234,1.32997465133667
CalibratedClassifierCV,0.8780487804878049,0.5527465667915106,0.5527465667915106,0.8365091787780589,9.493772745132446
LabelSpreading,0.18536585365853658,0.5230441115272576,0.5230441115272576,0.13683860427121017,0.26538681983947754
LabelPropagation,0.18536585365853658,0.5230441115272576,0.5230441115272576,0.13683860427121017,0.20453619956970215
DummyClassifier,0.8682926829268293,0.5,0.5,0.8070814494045724,0.0907745361328125
