Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
DecisionTreeClassifier,0.9170731707317074,0.8501352476071578,0.8501352476071578,0.9194615414022479,0.3259565830230713
XGBClassifier,0.9292682926829269,0.8414481897627966,0.8414481897627966,0.9289873721638999,1.0998709201812744
BaggingClassifier,0.9170731707317074,0.8344257178526842,0.8344257178526842,0.9183197503887872,1.4073936939239502
LGBMClassifier,0.9292682926829269,0.8335934248855597,0.8335934248855597,0.928406227918423,1.3538472652435303
KNeighborsClassifier,0.926829268292683,0.8321889305035373,0.8321889305035373,0.9262414583873126,0.1440141201019287
RidgeClassifierCV,0.9121951219512195,0.8316167290886392,0.8316167290886392,0.9141326680897641,0.9792397022247314
LogisticRegression,0.9170731707317074,0.8265709529754474,0.8265709529754474,0.9177102526467006,0.25063109397888184
LinearSVC,0.9024390243902439,0.8259987515605494,0.8259987515605494,0.9058780852910658,2.307271718978882
SVC,0.9390243902439024,0.8235018726591761,0.8235018726591761,0.9360308634955281,0.9826469421386719
ExtraTreesClassifier,0.9243902439024391,0.822929671244278,0.822929671244278,0.9234687263955557,0.604982852935791
PassiveAggressiveClassifier,0.9073170731707317,0.8209529754473575,0.8209529754473575,0.9093622607614178,0.23514461517333984
Perceptron,0.8975609756097561,0.8153349979192677,0.8153349979192677,0.9011719895556191,0.17543363571166992
AdaBoostClassifier,0.9243902439024391,0.8072201414898044,0.8072201414898045,0.9221381624576515,1.907088041305542
RandomForestClassifier,0.9219512195121952,0.805815647107782,0.805815647107782,0.9199817762555801,0.47484517097473145
ExtraTreeClassifier,0.8926829268292683,0.7811069496462755,0.7811069496462755,0.8942961475619599,0.1248631477355957
RidgeClassifier,0.8609756097560975,0.7785580524344569,0.778558052434457,0.8701790215828992,0.2967982292175293
SGDClassifier,0.9146341463414634,0.7701831044527674,0.7701831044527674,0.9104432088937393,0.2063901424407959
NearestCentroid,0.8219512195121951,0.732521847690387,0.732521847690387,0.8377530746435408,0.1297743320465088
GaussianNB,0.8170731707317073,0.7297128589263421,0.7297128589263421,0.8340342990432065,0.12497282028198242
LinearDiscriminantAnalysis,0.7658536585365854,0.7159280066583438,0.7159280066583438,0.796376106349767,1.4352400302886963
BernoulliNB,0.8097560975609757,0.7097898460258011,0.7097898460258011,0.8270219307235088,0.19226360321044922
QuadraticDiscriminantAnalysis,0.5024390243902439,0.6977736163129421,0.6977736163129422,0.5668049176433323,1.393517017364502
CalibratedClassifierCV,0.9048780487804878,0.6860174781523096,0.6860174781523096,0.8907620713554903,10.827156782150269
LabelSpreading,0.24634146341463414,0.5503017062005826,0.5503017062005827,0.24223893822901674,0.2347726821899414
LabelPropagation,0.24634146341463414,0.5503017062005826,0.5503017062005827,0.24223893822901674,0.20894241333007812
DummyClassifier,0.8682926829268293,0.5,0.5,0.8070814494045724,0.11462593078613281
